year,film,wiki,winner
2002,Chicago (2002 film),/wiki/Chicago_(2002_film),True
2002,Adaptation (film),/wiki/Adaptation_(film),False
2002,The Hours (film),/wiki/The_Hours_(film),False
2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False
2002,My Big Fat Greek Wedding,/wiki/My_Big_Fat_Greek_Wedding,False
2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True
2003,In America (film),/wiki/In_America_(film),False
2003,Mystic River (film),/wiki/Mystic_River_(film),False
2003,Seabiscuit (film),/wiki/Seabiscuit_(film),False
2003,The Station Agent,/wiki/The_Station_Agent,False
2004,Sideways,/wiki/Sideways,True
2004,The Aviator (2004 film),/wiki/The_Aviator_(2004_film),False
2004,Finding Neverland (film),/wiki/Finding_Neverland_(film),False
2004,Hotel Rwanda,/wiki/Hotel_Rwanda,False
2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,False
2004,Ray (film),/wiki/Ray_(film),False
2005,Crash (2004 film),/wiki/Crash_(2004_film),True
2005,Brokeback Mountain,/wiki/Brokeback_Mountain,False
2005,Capote (film),/wiki/Capote_(film),False
2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",False
2005,Hustle & Flow,/wiki/Hustle_%26_Flow,False
2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,True
2006,Babel (film),/wiki/Babel_(film),False
2006,Bobby (2006 film),/wiki/Bobby_(2006_film),False
2006,The Departed,/wiki/The_Departed,False
2006,Dreamgirls (film),/wiki/Dreamgirls_(film),False
2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,True
2007,3:10 to Yuma (2007 film),/wiki/3:10_to_Yuma_(2007_film),False
2007,American Gangster (film),/wiki/American_Gangster_(film),False
2007,Hairspray (2007 film),/wiki/Hairspray_(2007_film),False
2007,Into the Wild (film),/wiki/Into_the_Wild_(film),False
2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,True
2008,The Curious Case of Benjamin Button (film),/wiki/The_Curious_Case_of_Benjamin_Button_(film),False
2008,Doubt (2008 film),/wiki/Doubt_(2008_film),False
2008,Frost/Nixon (film),/wiki/Frost/Nixon_(film),False
2008,Milk (2008 American film),/wiki/Milk_(2008_American_film),False
2009,Inglourious Basterds,/wiki/Inglourious_Basterds,True
2009,An Education,/wiki/An_Education,False
2009,The Hurt Locker,/wiki/The_Hurt_Locker,False
2009,Nine (2009 live-action film),/wiki/Nine_(2009_live-action_film),False
2009,Precious (film),/wiki/Precious_(film),False
2010,The King's Speech,/wiki/The_King%27s_Speech,True
2010,Black Swan (film),/wiki/Black_Swan_(film),False
2010,The Fighter,/wiki/The_Fighter,False
2010,The Kids Are All Right (film),/wiki/The_Kids_Are_All_Right_(film),False
2010,The Social Network,/wiki/The_Social_Network,False
2011,The Help (film),/wiki/The_Help_(film),True
2011,The Artist (film),/wiki/The_Artist_(film),False
2011,Bridesmaids (2011 film),/wiki/Bridesmaids_(2011_film),False
2011,The Descendants,/wiki/The_Descendants,False
2011,Midnight in Paris,/wiki/Midnight_in_Paris,False
2012,Argo (2012 film),/wiki/Argo_(2012_film),True
2012,The Best Exotic Marigold Hotel,/wiki/The_Best_Exotic_Marigold_Hotel,False
2012,Les Misérables (2012 film),/wiki/Les_Mis%C3%A9rables_(2012_film),False
2012,Lincoln (film),/wiki/Lincoln_(film),False
2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,False
2013,American Hustle,/wiki/American_Hustle,True
2013,12 Years a Slave (film),/wiki/12_Years_a_Slave_(film),False
2013,August: Osage County (film),/wiki/August:_Osage_County_(film),False
2013,The Butler,/wiki/The_Butler,False
2013,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,False
2014,Birdman (film),/wiki/Birdman_(film),True
2014,Boyhood (2014 film),/wiki/Boyhood_(2014_film),False
2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,False
2014,The Imitation Game,/wiki/The_Imitation_Game,False
2014,The Theory of Everything (2014 film),/wiki/The_Theory_of_Everything_(2014_film),False
2015,Spotlight (film),/wiki/Spotlight_(film),True
2015,Beasts of No Nation (film),/wiki/Beasts_of_No_Nation_(film),False
2015,The Big Short (film),/wiki/The_Big_Short_(film),False
2015,Straight Outta Compton (film),/wiki/Straight_Outta_Compton_(film),False
2015,Trumbo (2015 film),/wiki/Trumbo_(2015_film),False
2016,Hidden Figures,/wiki/Hidden_Figures,True
2016,Captain Fantastic (film),/wiki/Captain_Fantastic_(film),False
2016,Fences (film),/wiki/Fences_(film),False
2016,Manchester by the Sea (film),/wiki/Manchester_by_the_Sea_(film),False
2016,Moonlight (2016 film),/wiki/Moonlight_(2016_film),False
2017,"Three Billboards Outside Ebbing, Missouri","/wiki/Three_Billboards_Outside_Ebbing,_Missouri",True
2017,The Big Sick,/wiki/The_Big_Sick,False
2017,Get Out,/wiki/Get_Out,False
2017,Lady Bird (film),/wiki/Lady_Bird_(film),False
2017,Mudbound (film),/wiki/Mudbound_(film),False
2018,Black Panther (film),/wiki/Black_Panther_(film),True
2018,BlacKkKlansman,/wiki/BlacKkKlansman,False
2018,Bohemian Rhapsody (film),/wiki/Bohemian_Rhapsody_(film),False
2018,Crazy Rich Asians (film),/wiki/Crazy_Rich_Asians_(film),False
2018,A Star Is Born (2018 film),/wiki/A_Star_Is_Born_(2018_film),False
2019,Parasite (2019 film),/wiki/Parasite_(2019_film),True
2019,Bombshell (2019 film),/wiki/Bombshell_(2019_film),False
2019,The Irishman,/wiki/The_Irishman,False
2019,Jojo Rabbit,/wiki/Jojo_Rabbit,False
2019,Once Upon a Time in Hollywood,/wiki/Once_Upon_a_Time_in_Hollywood,False
2020,The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,True
2020,Da 5 Bloods,/wiki/Da_5_Bloods,False
2020,Ma Rainey's Black Bottom (film),/wiki/Ma_Rainey%27s_Black_Bottom_(film),False
2020,Minari (film),/wiki/Minari_(film),False
2020,One Night in Miami...,/wiki/One_Night_in_Miami...,False
2021,CODA (2021 film),/wiki/CODA_(2021_film),True
2021,Belfast (film),/wiki/Belfast_(film),False
2021,Don't Look Up,/wiki/Don%27t_Look_Up,False
2021,House of Gucci,/wiki/House_of_Gucci,False
2021,King Richard (film),/wiki/King_Richard_(film),False
2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,True
2022,Babylon (2022 film),/wiki/Babylon_(2022_film),False
2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,False
2022,The Fabelmans,/wiki/The_Fabelmans,False
2022,Women Talking (film),/wiki/Women_Talking_(film),False
