,year,film,wiki,winner,Acting,Production Design,Directing,VFX,Writing,Cinematography,Sound,Film Editing,Music
131,1942,The Pied Piper,/wiki/The_Pied_Piper_(1942_film),False,1,0,0,0,0,1,0,0,0
132,1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,1,1,0,1,1,1,1,1,1
133,1942,Random Harvest,/wiki/Random_Harvest_(film),False,1,1,1,0,1,0,0,0,1
134,1942,The Talk of the Town,/wiki/The_Talk_of_the_Town_(1942_film),False,0,1,0,0,1,1,0,1,1
135,1942,Wake Island,/wiki/Wake_Island_(film),False,0,0,1,0,1,0,0,0,0
128,1942,Mrs. Miniver,/wiki/Mrs._Miniver,True,1,0,1,1,1,1,1,1,0
130,1942,The Magnificent Ambersons,/wiki/The_Magnificent_Ambersons_(film),False,0,1,0,0,0,1,0,0,0
136,1942,Yankee Doodle Dandy,/wiki/Yankee_Doodle_Dandy,False,1,0,1,0,1,0,1,1,1
147,1943,Watch on the Rhine,/wiki/Watch_on_the_Rhine,False,1,0,0,0,1,0,0,0,0
146,1943,The Song of Bernadette,/wiki/The_Song_of_Bernadette_(film),False,1,1,1,0,1,1,1,1,1
145,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,0,0,0,0,0,0,0,0,0
144,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,1,0,1,0,1,0,0,0,0
137,1943,Casablanca,/wiki/Casablanca_(film),True,1,0,1,0,1,1,0,1,1
138,1943,For Whom the Bell Tolls,/wiki/For_Whom_the_Bell_Tolls_(film),False,1,1,0,0,0,1,0,1,1
139,1943,Heaven Can Wait,/wiki/Heaven_Can_Wait_(1943_film),False,1,1,1,0,1,1,0,0,1
141,1943,The Human Comedy,/wiki/The_Human_Comedy_(film),False,1,0,1,0,1,1,0,0,0
142,1943,In Which We Serve,/wiki/In_Which_We_Serve,False,0,0,0,0,1,0,0,0,0
143,1943,Madame Curie,/wiki/Madame_Curie_(film),False,1,1,0,0,0,1,1,0,1
152,1944,Wilson,/wiki/Wilson_(1944_film),False,1,1,1,1,1,1,1,1,1
150,1944,Gaslight,/wiki/Gaslight_(1944_film),False,1,1,0,0,1,1,0,0,0
149,1944,Double Indemnity,/wiki/Double_Indemnity,False,1,0,1,0,1,1,1,0,1
148,1944,Going My Way,/wiki/Going_My_Way,True,1,0,1,0,1,1,0,1,1
151,1944,Since You Went Away,/wiki/Since_You_Went_Away,False,1,1,0,1,0,1,0,1,1
155,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,1,0,1,0,0,0,1,1,1
156,1945,Mildred Pierce,/wiki/Mildred_Pierce_(film),False,1,0,0,0,1,1,0,0,0
157,1945,Spellbound,/wiki/Spellbound_(1945_film),False,0,0,1,1,0,1,0,0,1
154,1945,Anchors Aweigh,/wiki/Anchors_Aweigh_(film),False,1,0,0,0,0,1,0,0,1
153,1945,The Lost Weekend,/wiki/The_Lost_Weekend_(film),True,1,0,1,0,1,1,0,1,1
158,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,1,0,1,0,1,0,1,1,1
159,1946,Henry V,/wiki/Henry_V_(1944_film),False,1,1,1,0,0,0,0,0,1
160,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,1,0,1,0,0,0,1,1,0
162,1946,The Yearling,/wiki/The_Yearling_(1946_film),False,1,1,1,0,0,1,0,1,0
161,1946,The Razor's Edge,/wiki/The_Razor%27s_Edge_(1946_film),False,0,1,0,0,0,0,0,0,0
167,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,0,0,0,0,1,0,0,0,0
166,1947,Great Expectations,/wiki/Great_Expectations_(1946_film),False,0,1,1,0,1,1,0,0,0
165,1947,Crossfire,/wiki/Crossfire_(film),False,0,0,1,0,1,0,0,0,0
164,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,0,0,1,0,0,0,1,1,1
163,1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,True,1,0,1,0,1,0,0,1,0
168,1948,Hamlet,/wiki/Hamlet_(1948_film),True,1,1,1,0,1,0,0,0,1
169,1948,Johnny Belinda,/wiki/Johnny_Belinda_(1948_film),False,1,1,1,0,1,1,1,1,1
172,1948,The Treasure of the Sierra Madre,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,0,0,1,0,1,0,0,0,0
171,1948,The Snake Pit,/wiki/The_Snake_Pit,False,1,0,1,0,1,0,1,0,1
170,1948,The Red Shoes,/wiki/The_Red_Shoes_(1948_film),False,0,1,0,0,1,0,0,1,1
174,1949,Battleground,/wiki/Battleground_(film),False,0,0,1,0,1,1,0,1,0
175,1949,The Heiress,/wiki/The_Heiress,False,1,1,1,0,0,1,0,0,1
176,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,0,0,1,0,1,0,0,0,0
177,1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,1,0,0,0,0,0,1,0,0
173,1949,All the King's Men,/wiki/All_the_King%27s_Men_(1949_film),True,1,0,1,0,1,0,0,1,0
178,1950,Born Yesterday,/wiki/Born_Yesterday_(1950_film),False,1,0,1,0,1,0,0,0,0
179,1950,Father of the Bride,/wiki/Father_of_the_Bride_(1950_film),False,1,0,0,0,1,0,0,0,0
180,1950,King Solomon's Mines,/wiki/King_Solomon%27s_Mines_(1950_film),False,0,0,0,0,0,1,0,1,0
182,1951,A Place in the Sun,/wiki/A_Place_in_the_Sun_(1951_film),False,1,0,1,0,1,1,0,1,1
183,1951,Quo Vadis,/wiki/Quo_Vadis_(1951_film),False,0,1,0,0,0,1,0,1,1
181,1951,An American in Paris,/wiki/An_American_in_Paris_(film),True,0,1,1,0,1,1,0,1,1
184,1951,A Streetcar Named Desire,/wiki/A_Streetcar_Named_Desire_(1951_film),False,1,1,1,0,1,1,1,0,1
189,1952,The Quiet Man,/wiki/The_Quiet_Man,False,0,1,1,0,1,1,1,0,0
188,1952,Moulin Rouge,/wiki/Moulin_Rouge_(1952_film),False,1,1,1,0,0,1,1,1,0
187,1952,Ivanhoe,/wiki/Ivanhoe_(1952_film),False,0,0,0,0,0,1,0,0,1
186,1952,High Noon,/wiki/High_Noon,False,1,0,1,0,1,0,0,1,1
185,1952,The Greatest Show on Earth,/wiki/The_Greatest_Show_on_Earth_(film),True,0,0,1,0,1,0,0,1,0
191,1953,Julius Caesar,/wiki/Julius_Caesar_(1953_film),False,1,1,0,0,0,1,0,0,1
190,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,1,0,1,0,1,1,1,1,1
192,1953,The Robe,/wiki/The_Robe_(film),False,1,1,0,0,0,1,0,0,0
193,1953,Roman Holiday,/wiki/Roman_Holiday,False,1,1,1,0,1,1,0,1,0
194,1953,Shane,/wiki/Shane_(film),False,0,0,1,0,1,1,0,0,0
196,1954,The Caine Mutiny,/wiki/The_Caine_Mutiny_(film),False,1,0,0,0,1,0,1,1,1
197,1954,The Country Girl,/wiki/The_Country_Girl_(1954_film),False,1,1,1,0,1,1,0,0,0
198,1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,False,0,0,0,0,1,1,0,1,1
199,1954,Three Coins in the Fountain,/wiki/Three_Coins_in_the_Fountain_(film),False,0,0,0,0,0,1,0,0,1
195,1954,On the Waterfront,/wiki/On_the_Waterfront,True,1,1,1,0,1,1,0,1,1
201,1955,Love Is a Many-Splendored Thing,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,1,1,0,0,0,1,1,0,1
202,1955,Mister Roberts,/wiki/Mister_Roberts_(1955_film),False,0,0,0,0,0,0,1,0,0
203,1955,Picnic,/wiki/Picnic_(1955_film),False,0,1,1,0,0,0,0,1,1
204,1955,The Rose Tattoo,/wiki/The_Rose_Tattoo_(film),False,1,1,0,0,0,1,0,1,1
200,1955,Marty,/wiki/Marty_(film),True,1,1,1,0,1,1,0,0,0
207,1956,Giant,/wiki/Giant_(1956_film),False,1,1,1,0,1,0,0,1,1
205,1956,Around the World in 80 Days,/wiki/Around_the_World_in_80_Days_(1956_film),True,0,1,1,0,1,1,0,1,1
206,1956,Friendly Persuasion,/wiki/Friendly_Persuasion_(1956_film),False,0,0,1,0,1,0,1,0,1
209,1956,The Ten Commandments,/wiki/The_Ten_Commandments_(1956_film),False,0,1,0,1,0,1,1,1,0
208,1956,The King and I,/wiki/The_King_and_I_(1956_film),False,1,1,1,0,0,1,1,0,1
214,1957,Witness for the Prosecution,/wiki/Witness_for_the_Prosecution_(1957_film),False,1,0,1,0,0,0,1,1,0
213,1957,Sayonara,/wiki/Sayonara,False,1,1,1,0,1,1,1,1,0
212,1957,Peyton Place,/wiki/Peyton_Place_(film),False,1,0,1,0,1,1,0,0,0
211,1957,12 Angry Men,/wiki/12_Angry_Men_(1957_film),False,0,0,1,0,1,0,0,0,0
210,1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True,1,0,1,0,1,1,0,1,1
217,1958,Cat on a Hot Tin Roof,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,1,0,1,0,1,1,0,0,0
216,1958,Auntie Mame,/wiki/Auntie_Mame_(film),False,1,1,0,0,0,1,0,1,0
215,1958,Gigi,/wiki/Gigi_(1958_film),True,0,1,1,0,1,1,0,1,1
219,1958,Separate Tables,/wiki/Separate_Tables_(film),False,1,0,0,0,1,1,0,0,1
218,1958,The Defiant Ones,/wiki/The_Defiant_Ones,False,1,0,1,0,1,1,0,1,0
220,1959,Ben-Hur,/wiki/Ben-Hur_(1959_film),True,1,1,1,1,1,1,1,1,1
222,1959,The Diary of Anne Frank,/wiki/The_Diary_of_Anne_Frank_(1959_film),False,0,1,1,0,0,1,0,0,1
223,1959,The Nun's Story,/wiki/The_Nun%27s_Story_(film),False,1,0,1,0,1,1,1,1,1
224,1959,Room at the Top,/wiki/Room_at_the_Top_(1959_film),False,1,0,1,0,1,0,0,0,0
221,1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,False,1,0,0,0,1,1,0,1,0
225,1960,The Apartment,/wiki/The_Apartment,True,1,1,1,0,1,1,1,1,0
227,1960,Elmer Gantry,/wiki/Elmer_Gantry_(film),False,1,0,0,0,1,0,0,0,1
228,1960,Sons and Lovers,/wiki/Sons_and_Lovers_(film),False,1,1,1,0,1,1,0,0,0
229,1960,The Sundowners,/wiki/The_Sundowners_(1960_film),False,1,0,1,0,1,0,0,0,0
226,1960,The Alamo,/wiki/The_Alamo_(1960_film),False,0,0,0,0,0,1,1,1,1
234,1961,The Hustler,/wiki/The_Hustler,False,1,1,1,0,1,1,0,0,0
235,1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False,1,1,1,0,1,1,0,1,0
233,1961,The Guns of Navarone,/wiki/The_Guns_of_Navarone_(film),False,0,0,1,1,1,0,1,1,1
232,1961,Fanny,/wiki/Fanny_(1961_film),False,1,0,0,0,0,1,0,1,1
230,1961,West Side Story,/wiki/West_Side_Story_(1961_film),True,0,1,1,0,1,1,1,1,1
238,1962,To Kill a Mockingbird,/wiki/To_Kill_a_Mockingbird_(film),False,1,1,1,0,1,1,0,0,1
236,1962,Lawrence of Arabia,/wiki/Lawrence_of_Arabia_(film),True,1,1,1,0,1,1,1,1,1
237,1962,The Longest Day,/wiki/The_Longest_Day_(film),False,0,1,0,1,0,1,0,1,0
54,1962,Mutiny on the Bounty,/wiki/Mutiny_on_the_Bounty_(1962_film),False,1,1,1,1,1,1,0,1,1
242,1963,Lilies of the Field,/wiki/Lilies_of_the_Field_(1963_film),False,1,0,0,0,1,1,0,0,0
239,1963,Tom Jones,/wiki/Tom_Jones_(1963_film),True,1,1,1,0,1,0,0,0,1
43,1963,Cleopatra,/wiki/Cleopatra_(1963_film),False,1,1,0,1,0,1,1,1,1
241,1963,How the West Was Won,/wiki/How_the_West_Was_Won_(film),False,0,1,0,0,1,1,1,1,1
240,1963,America America,/wiki/America_America,False,0,1,1,0,1,0,0,0,0
243,1964,My Fair Lady,/wiki/My_Fair_Lady_(film),True,1,1,1,0,1,1,1,1,1
244,1964,Becket,/wiki/Becket_(1964_film),False,1,1,1,0,1,1,1,1,1
245,1964,Mary Poppins,/wiki/Mary_Poppins_(film),False,1,1,1,1,1,1,1,1,1
246,1964,Zorba the Greek,/wiki/Zorba_the_Greek_(film),False,1,1,1,0,1,1,0,0,0
248,1965,Darling,/wiki/Darling_(1965_film),False,1,0,1,0,1,0,0,0,0
251,1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,False,0,0,0,0,1,0,0,0,1
250,1965,Ship of Fools,/wiki/Ship_of_Fools_(film),False,1,1,0,0,1,1,0,0,0
249,1965,Doctor Zhivago,/wiki/Doctor_Zhivago_(film),False,0,1,1,0,1,1,1,1,1
247,1965,The Sound of Music,/wiki/The_Sound_of_Music_(film),True,1,1,1,0,0,1,1,1,1
254,1966,The Sand Pebbles,/wiki/The_Sand_Pebbles_(film),False,1,1,0,0,0,1,1,1,1
253,1966,Alfie,/wiki/Alfie_(1966_film),False,1,0,0,0,1,0,0,0,1
252,1966,A Man for All Seasons,/wiki/A_Man_for_All_Seasons_(1966_film),True,1,0,1,0,1,1,0,0,0
255,1966,Who's Afraid of Virginia Woolf?,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,1,1,1,0,1,1,1,1,1
259,1967,The Graduate,/wiki/The_Graduate,False,1,0,1,0,1,1,0,0,0
258,1967,Doctor Dolittle,/wiki/Doctor_Dolittle_(1967_film),False,0,1,0,1,0,1,1,1,1
260,1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False,1,1,1,0,1,0,0,1,1
257,1967,Bonnie and Clyde,/wiki/Bonnie_and_Clyde_(film),False,1,0,1,0,1,1,0,0,0
256,1967,In the Heat of the Night,/wiki/In_the_Heat_of_the_Night_(film),True,1,0,1,0,1,0,1,1,0
264,1968,"Rachel, Rachel","/wiki/Rachel,_Rachel",False,1,0,0,0,1,0,0,0,0
263,1968,The Lion in Winter,/wiki/The_Lion_in_Winter_(1968_film),False,1,0,1,0,1,0,0,0,1
262,1968,Funny Girl,/wiki/Funny_Girl_(film),False,1,0,0,0,0,1,1,1,1
261,1968,Oliver!,/wiki/Oliver!_(film),True,1,1,1,0,1,1,1,1,1
73,1968,Romeo and Juliet,/wiki/Romeo_and_Juliet_(1968_film),False,1,1,1,0,0,1,0,0,0
265,1969,Midnight Cowboy,/wiki/Midnight_Cowboy,True,1,0,1,0,1,0,0,1,0
266,1969,Anne of the Thousand Days,/wiki/Anne_of_the_Thousand_Days,False,1,1,0,0,1,1,1,0,1
267,1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,0,0,1,0,1,1,1,0,1
268,1969,"Hello, Dolly!","/wiki/Hello,_Dolly!_(film)",False,0,1,0,0,0,1,1,1,1
269,1969,Z,/wiki/Z_(1969_film),False,0,0,1,0,1,0,0,1,0
274,1970,M*A*S*H,/wiki/M*A*S*H_(film),False,0,0,1,0,1,0,0,1,0
